tree,name,pid,VmRSS,VmSwap,VmSize,VmHWM,VmPeak,VmRSS+VmSwap,VmRSS_sum,VmSwap_sum,VmSize_sum,VmHWM_sum,VmPeak_sum,VmRSS+VmSwap_sum
 |   |__loop0____________________________________,loop0,242,0,0,0,0,0,0,0,0,0,0,0,0
 |   |__md_______________________________________,md,40,0,0,0,0,0,0,0,0,0,0,0,0
 |   |__migration/0______________________________,migration/0,12,0,0,0,0,0,0,0,0,0,0,0,0
 |   |__migration/1______________________________,migration/1,15,0,0,0,0,0,0,0,0,0,0,0,0
 |   |__migration/2______________________________,migration/2,20,0,0,0,0,0,0,0,0,0,0,0,0
 |   |__migration/3______________________________,migration/3,25,0,0,0,0,0,0,0,0,0,0,0,0
 |   |__mm_percpu_wq_____________________________,mm_percpu_wq,8,0,0,0,0,0,0,0,0,0,0,0,0
 |   |__netns____________________________________,netns,30,0,0,0,0,0,0,0,0,0,0,0,0
 |   |__oom_reaper_______________________________,oom_reaper,33,0,0,0,0,0,0,0,0,0,0,0,0
 |   |__rcu_bh___________________________________,rcu_bh,11,0,0,0,0,0,0,0,0,0,0,0,0
 |   |__rcu_gp___________________________________,rcu_gp,3,0,0,0,0,0,0,0,0,0,0,0,0
 |   |__rcu_par_gp_______________________________,rcu_par_gp,4,0,0,0,0,0,0,0,0,0,0,0,0
 |   |__rcu_sched________________________________,rcu_sched,10,0,0,0,0,0,0,0,0,0,0,0,0
 |   |__scsi_eh_0________________________________,scsi_eh_0,81,0,0,0,0,0,0,0,0,0,0,0,0
 |   |__scsi_eh_1________________________________,scsi_eh_1,83,0,0,0,0,0,0,0,0,0,0,0,0
 |   |__scsi_eh_2________________________________,scsi_eh_2,85,0,0,0,0,0,0,0,0,0,0,0,0
 |   |__scsi_eh_3________________________________,scsi_eh_3,87,0,0,0,0,0,0,0,0,0,0,0,0
 |   |__scsi_eh_4________________________________,scsi_eh_4,161,0,0,0,0,0,0,0,0,0,0,0,0
 |   |__scsi_tmf_0_______________________________,scsi_tmf_0,82,0,0,0,0,0,0,0,0,0,0,0,0
 |   |__scsi_tmf_1_______________________________,scsi_tmf_1,84,0,0,0,0,0,0,0,0,0,0,0,0
 |   |__scsi_tmf_2_______________________________,scsi_tmf_2,86,0,0,0,0,0,0,0,0,0,0,0,0
 |   |__scsi_tmf_3_______________________________,scsi_tmf_3,88,0,0,0,0,0,0,0,0,0,0,0,0
 |   |__scsi_tmf_4_______________________________,scsi_tmf_4,162,0,0,0,0,0,0,0,0,0,0,0,0
 |   |__spi0_____________________________________,spi0,92,0,0,0,0,0,0,0,0,0,0,0,0
 |   |__uext_wq__________________________________,uext_wq,95,0,0,0,0,0,0,0,0,0,0,0,0
 |   |__usb-storage______________________________,usb-storage,163,0,0,0,0,0,0,0,0,0,0,0,0
 |   |__watchdogd________________________________,watchdogd,42,0,0,0,0,0,0,0,0,0,0,0,0
 |   |__wg-crypt-wgsrv1__________________________,wg-crypt-wgsrv1,3970,0,0,0,0,0,0,0,0,0,0,0,0
 |   \__writeback________________________________,writeback,34,0,0,0,0,0,0,0,0,0,0,0,0
 \__systemd______________________________________,systemd,1,10330112,167936,170508288,11272192,236929024,10498048,2847961088,112205824,46228025344,3209064448,47275696128,2960166912
     |__agetty___________________________________,agetty,5727,1466368,0,2551808,1511424,2551808,1466368,1466368,0,2551808,1511424,2551808,1466368
     |__agetty___________________________________,agetty,5787,1392640,0,2174976,1437696,2211840,1392640,1392640,0,2174976,1437696,2211840,1392640
     |__bash_____________________________________,bash,5907,1327104,270336,3764224,2711552,3801088,1597440,337321984,3809280,1433141248,355827712,1433178112,341131264
